i,similarity_value,model_name
10601,0.74957025,ViT-B-32
10651,0.7497007,ViT-B-32
10701,0.7494986,ViT-B-32
10751,0.7515564,ViT-B-32
10801,0.7519418,ViT-B-32
10851,0.75179046,ViT-B-32
10901,0.7521697,ViT-B-32
10951,0.7514536,ViT-B-32
11001,0.7533047,ViT-B-32
11051,0.75317883,ViT-B-32
11101,0.75356686,ViT-B-32
11151,0.75377655,ViT-B-32
11201,0.75388706,ViT-B-32
11251,0.75374067,ViT-B-32
11301,0.7534912,ViT-B-32
11351,0.7529846,ViT-B-32
11401,0.75296414,ViT-B-32
11451,0.7530718,ViT-B-32
11501,0.75323004,ViT-B-32
11551,0.75366867,ViT-B-32
11601,0.75283253,ViT-B-32
11651,0.75415367,ViT-B-32
11701,0.7538886,ViT-B-32
11751,0.75321466,ViT-B-32
11801,0.7528838,ViT-B-32
11851,0.752606,ViT-B-32
11901,0.75278646,ViT-B-32
11951,0.7538724,ViT-B-32
12001,0.7532849,ViT-B-32
12051,0.75325,ViT-B-32
12101,0.7533106,ViT-B-32
12151,0.75168645,ViT-B-32
12201,0.7518644,ViT-B-32
12251,0.7516212,ViT-B-32
12301,0.75168437,ViT-B-32
12351,0.75386757,ViT-B-32
12401,0.7538917,ViT-B-32
12451,0.7537117,ViT-B-32
12501,0.75308514,ViT-B-32
12551,0.75395024,ViT-B-32
12601,0.754796,ViT-B-32
12651,0.7547865,ViT-B-32
12701,0.7550961,ViT-B-32
12751,0.75536263,ViT-B-32
12801,0.75507706,ViT-B-32
12851,0.756427,ViT-B-32
12901,0.7565909,ViT-B-32
12951,0.7565471,ViT-B-32
1,0.6653545,LongCLIP
51,0.7727866,LongCLIP
101,0.788268,LongCLIP
151,0.77764064,LongCLIP
201,0.74502397,LongCLIP
251,0.7041685,LongCLIP
301,0.8164205,LongCLIP
351,0.80762464,LongCLIP
401,0.7587736,LongCLIP
451,0.6529948,LongCLIP
501,0.3929026,LongCLIP
551,0.72123945,LongCLIP
601,0.7815174,LongCLIP
651,0.8010305,LongCLIP
701,0.82009006,LongCLIP
751,0.8255316,LongCLIP
801,0.8255359,LongCLIP
851,0.8291712,LongCLIP
901,0.8301926,LongCLIP
951,0.8373183,LongCLIP
1001,0.8394281,LongCLIP
1051,0.8417947,LongCLIP
1101,0.8471544,LongCLIP
1151,0.8469906,LongCLIP
1201,0.8486532,LongCLIP
1251,0.85233915,LongCLIP
1301,0.8464285,LongCLIP
1351,0.849598,LongCLIP
1401,0.8497463,LongCLIP
1451,0.853617,LongCLIP
1501,0.8567169,LongCLIP
1551,0.87424695,LongCLIP
1601,0.8699518,LongCLIP
1651,0.867319,LongCLIP
1701,0.87018067,LongCLIP
1751,0.86907804,LongCLIP
1801,0.8700034,LongCLIP
1851,0.8676767,LongCLIP
1901,0.86700904,LongCLIP
1951,0.8633915,LongCLIP
2001,0.86557484,LongCLIP
2051,0.8657194,LongCLIP
2101,0.86492366,LongCLIP
2151,0.8646381,LongCLIP
2201,0.86550534,LongCLIP
2251,0.8658625,LongCLIP
2301,0.86712,LongCLIP
2351,0.8669597,LongCLIP
